,转债代码,转债余额,申购日期,债券简称,股票代码,正股简称,转股价格,纯债价值,bond_nm,price,stock_id,stock_nm,redeem_dt,volume,评级,redeem_icon,强赎修正,ATR,ma20,ma5,K,D,slope,macd,cci,yj_bias,ATR1,ma201,ma51,K1,D1,SLOPE1,macd1,cci1,yj_bias1,VIX11,zzzf,zgzf,zfc,zfc5,zfc10,正股趋势,正股综合分,转债价格,转债涨跌幅,股价,正股涨跌幅,转股价值,转股溢价率,amount,amount1,转债换手率,转债换手率1,距离转股日,剩余期限,vix,多权价值,期权价值,内在价值,价值溢价,MA20乖离,MA5乖离,绝对乖离,涨幅对标,双低分数,传统双低,五因子分数,强势分数,多因子V1.1,综合分数,溢值分数
252,sz123154,5.29,2022-08-05,火星转债,sz300894,火星人,34.29, 85.88,火星转债,119.08,300894,火星人,暂无提示,2656.89,AA-,,0,1.1215,27.6565,26.4320,70.6983,53.5118,-0.1239,0.1314,37.4487,0.0000,1.1631,27.8290,25.9760,53.2902,36.8545,-0.2161,0.0376,13.1871,0.0000,0.0248,0.1177,-0.1115,0.0515,-0.0290,-0.0177,上涨中,6,118.565,-0.43,26.71,-1.66,77.8944,0.522124,0.624302,3.28119,1.18016,3.10132,2101,2101,0.0248,11.0749,11.0749,96.9549,0.222888,-0.03422341944931573,0.010517554479418934,0.03422341944931573,0.0515,0.460811,0.249316,0.472119,0.367006,0.478597,0.52037,0.436547
253,sz128132,8.489,2020-09-15,交建转债,sz002941,新疆交建,18.43, 100.82,交建转债,111.703,002941,新疆交建,暂无提示,3463.81,AA,,0,0.4634,13.0065,12.2660,72.6554,53.9493,-0.0787,-0.0241,-6.2875,0.4348,0.4805,13.1450,12.1760,51.0643,38.5859,-0.1210,-0.0637,-28.6512,0.2856,0.0187,0.0877,-0.1727,0.1135,0.0013,-0.0372,跌减缓,4,112.049,0.31,12.45,0.32,67.5529,0.658685,1.71861,5.18242,2.02452,3.05243,1412,1412,0.0187,3.65401,3.65401,104.474,0.072506,-0.04278629915811338,0.015000815261698941,0.04278629915811338,0.1135,0.281745,0.593742,0.381206,0.333611,0.443074,0.520064,0.471797
254,sz123106,3.2,2021-03-24,正丹转债,sz300641,正丹股份,7.45, 97.59,正丹转债,115.879,300641,正丹股份,暂无提示,506.17,AA-,,0,0.1582,5.3085,5.3160,94.1781,85.9211,0.0118,0.0502,132.7407,0.3364,0.1640,5.3395,5.2420,89.8244,71.4018,-0.0012,0.0391,119.0031,-0.1406,0.0192,0.0630,-0.0936,0.0684,-0.0289,-0.0508,均线金叉,7,115.8,-0.07,5.42,0,72.7517,0.591716,0.390417,0.896587,1.22005,1.40092,1602,1602,0.0192,5.45998,5.45998,103.05,0.123727,0.021004050108316852,0.019563581640331007,0.021004050108316852,0.0684,0.384948,0.470069,0.540007,0.37866,0.579991,0.52002,0.574113
255,sz127018,56.311,2020-06-29,本钢转债,sz000761,本钢板材,3.95, 114.07,本钢转债,115.134,000761,本钢板材,暂无提示,2955.0,AAA,,0,0.0576,3.2235,3.1680,79.6147,58.9373,-0.0080,0.0065,22.2930,0.6878,0.0598,3.2345,3.1460,57.8369,39.6921,-0.0127,0.0020,1.0359,0.1695,0.0104,0.0304,-0.0588,0.0492,-0.0212,-0.0064,上涨中,6,115.102,-0.03,3.2,0,81.0127,0.42079,3.0876,6.0426,0.548312,0.536538,1334,1334,0.0104,2.74316,2.74316,116.813,-0.0146487,-0.007290212501938842,0.010101010101010166,0.007290212501938842,0.0492,0.435585,0.764993,0.491622,0.536055,0.560637,0.519928,0.587529
256,sz128079,1.52,2019-10-21,英联转债,sz002846,英联股份,8.29, 95.91,英联转债,137.01,002846,英联股份,暂无提示,7527.17,A+,,0,0.3621,7.2365,6.8500,70.1449,51.7998,-0.0258,-0.0276,32.3976,0.6110,0.3755,7.2515,6.7580,47.6190,36.7426,-0.0634,-0.0518,-4.6479,0.4009,0.0284,0.1727,-0.1283,0.0534,0.0201,0.0127,跌减缓,4,136.3,-0.52,7,0,84.4391,0.614181,5.15463,12.6818,33.912,41.7164,1082,1082,0.0284,16.9226,16.9226,112.833,0.207984,-0.03268154494576114,0.021897810218978186,0.03268154494576114,0.0534,0.437799,0.207118,0.465195,0.39561,0.429505,0.518087,0.540865
257,sh113024,29.951,2019-04-08,核建转债,sh601611,中国核建,9.63, 101.09,核建转债,116.705,601611,中国核建,暂无提示,1876.35,AAA,,0,0.2030,8.1200,7.9820,83.3868,66.8298,-0.0161,-0.0098,16.0695,0.5214,0.2106,8.1670,7.9540,67.0139,49.8789,-0.0295,-0.0210,0.0000,0.2148,0.0153,0.0973,-0.0949,0.0686,0.0000,-0.0221,跌减缓,4,115.495,-1.04,7.95,-0.75,82.5545,0.399015,4.84872,6.72507,1.61889,1.12268,886,886,0.0153,6.47488,6.47488,107.565,0.0737241,-0.020935960591132896,-0.0040090202956653,0.020935960591132896,0.0686,0.451067,0.57686,0.462017,0.483082,0.548872,0.517107,0.506961
258,sz127033,11.594,2021-04-16,中装转2,sz002822,中装建设,6.29, 99.15,中装转2,110.014,002822,中装建设,暂无提示,928.13,AA,,0,0.1095,4.5000,4.4020,68.7208,53.7345,-0.0147,0.0107,14.6696,0.6088,0.1135,4.5220,4.3620,52.5906,39.1867,-0.0229,0.0021,-6.3063,0.4554,0.0142,0.0631,-0.0825,0.0648,0.0037,0.0127,上涨中,6,109.678,-0.31,4.43,-0.45,70.4293,0.557279,0.96072,1.88885,0.828635,0.814581,1625,1625,0.0142,2.22354,2.22354,101.374,0.0819194,-0.015555555555555656,0.00636074511585627,0.015555555555555656,0.0648,0.42454,0.583722,0.453291,0.4295,0.559335,0.516561,0.518496
259,sh113622,11.5,2021-03-25,杭叉转债,sh603298,杭叉集团,15.45, 97.53,杭叉转债,126.431,603298,杭叉集团,暂无提示,3016.9,AA+,,0,0.4670,13.2370,13.8180,95.7434,90.9811,0.1002,0.2473,179.7200,0.2243,0.4843,13.2290,13.4040,94.2068,78.4689,0.0579,0.2124,217.6602,-0.5853,0.0212,0.1042,0.0134,0.0131,-0.0597,-0.0989,上涨中,6,125.78,-0.51,14.11,-1.81,91.3269,0.377251,4.20741,7.22431,3.65862,3.14101,1603,1603,0.0212,15.1559,15.1559,112.686,0.1162,0.06595149958449786,0.02113185699811848,0.06595149958449786,0.0131,0.614671,0.444508,0.713493,0.590464,0.655379,0.516038,0.660657
260,sz128140,10.896,2020-12-07,润建转债,sz002929,润建股份,26.2, 98.86,润建转债,162.457,002929,润建股份,暂无提示,6893.71,AA,G,0,1.1990,33.7800,34.5920,92.3113,88.5448,0.1339,0.4087,122.8975,0.4719,1.2434,33.8930,34.0000,91.0072,77.0379,0.0588,0.3636,136.6129,0.1725,0.0226,0.1561,-0.0360,0.0482,0.0151,-0.0103,上涨中,6,162.893,0.27,35.78,2.05,136.565,0.192788,7.40025,14.294,6.79171,6.55927,1495,1495,0.0226,48.4149,48.4149,147.275,0.106048,0.05920663114268798,0.03434320074005548,0.05920663114268798,0.0482,0.538058,0.383171,0.574737,0.60762,0.601959,0.514019,0.710914
261,sz128063,6.292,2019-04-03,未来转债,sz002631,德尔未来,8.61, 110.44,未来转债,119.085,002631,德尔未来,暂无提示,4167.81,AA-,,0,0.2757,5.6440,5.9140,83.9286,76.7221,0.0547,0.0931,143.8200,0.0339,0.2859,5.6405,5.7920,76.1523,64.7003,0.0404,0.0848,217.7298,-0.8997,0.0253,0.0325,0.0288,-0.0314,-0.0617,-0.1066,上涨中,6,119.048,-0.03,6.01,-0.99,69.8026,0.705496,0.943269,5.11108,1.49916,4.06157,881,881,0.0253,7.98834,7.98834,118.428,0.00523237,0.06484762579730674,0.01623266824484282,0.06484762579730674,-0.0314,0.592822,0.706649,0.76353,0.612968,0.589375,0.512427,0.748772
262,sz127036,29.985,2021-06-01,三花转债,sz002050,三花智控,21.3, 98.67,三花转债,138.3,002050,三花智控,暂无提示,17349.1,AA+,G,0,1.6571,25.3270,22.1920,24.5887,24.0814,-0.5213,-0.3223,-69.0833,1.1048,1.7185,25.7165,22.1240,22.6064,22.9385,-0.5705,-0.3845,-79.0886,1.0894,0.0451,0.1844,-0.2505,0.1736,0.0695,0.1455,KDJ金叉,8,138.184,-0.08,22.07,0.64,103.615,0.333629,12.8034,30.1525,4.26994,5.02793,1671,1671,0.0451,41.9153,41.9153,140.585,-0.0170805,-0.12859793895842386,-0.005497476568132709,0.12859793895842386,0.1736,0.32515,0.674268,0.263811,0.526751,0.31811,0.512257,0.557128
263,sh118018,4.3,2022-08-18,瑞科转债,sh688323,瑞华泰,30.98, 76.80,瑞科转债,117.641,688323,瑞华泰,暂无提示,1470.32,A+,,0,1.2431,22.2565,22.1800,80.2165,73.0191,-0.0154,0.4064,77.5375,0.0000,1.2891,22.3885,21.6200,75.9201,59.8948,-0.0909,0.3474,81.1569,0.0000,0.0319,0.0000,0.0000,0.0000,0.0000,0.0000,上涨中,6,117.919,0.24,23.2,1.98,74.887,0.574625,1.61162,3.08194,3.74796,3.58366,2114,2114,0.0319,14.3937,14.3937,91.1937,0.293061,0.042392110170062614,0.04598737601442737,0.042392110170062614,0.0,0.501471,0.115407,0.522578,0.333435,0.580152,0.510034,0.421093
264,sz128023,9.986,2017-12-04,亚太转债,sz002284,亚太股份,10.24, 105.59,亚太转债,120.5,002284,亚太股份,暂无提示,3419.98,AA,,0,0.4155,7.7220,7.5800,90.9247,76.1168,-0.0144,0.1255,58.0605,0.5191,0.4309,7.7850,7.4520,78.2802,58.5096,-0.0436,0.1061,28.2561,-0.0122,0.0308,0.0784,-0.1135,0.0815,-0.0438,-0.0465,上涨中,6,120.215,-0.24,7.74,0.13,75.5859,0.590441,2.59816,6.01814,2.60181,3.01329,396,396,0.0308,8.24408,8.24408,113.834,0.0560546,0.002331002331002363,0.02110817941952514,0.002331002331002363,0.0815,0.350363,0.594548,0.483646,0.418474,0.482077,0.507478,0.545316
